Pollutant,Percentage
Agriculture,16.23
Energy production,11.35
Fugitive emissions,5.58
Industrial processes,21.31
Manufacturing industry & construction,9.55
Military aircraft and naval shipping,0.61
Non-road transport,7.5
Other,0.35
Road transport,14.99
Small non-road mobile sources & machinery,11.89
Waste,0.66
